SeqOrder,sourceID,BodyGroup_from,BodyGroup_to
0,MRI_MSR_104,ABDOMEN,ABDOMEN
1,MRI_MSR_21,ABDOMEN,ABDOMEN
2,MRI_FRR_257,ABDOMEN,ABDOMEN
3,MRI_FRR_264,ABDOMEN,ABDOMEN
4,MRI_FRR_3,ABDOMEN,ABDOMEN
5,MRI_CCS_11,ABDOMEN,ABDOMEN
6,MRI_FRR_3,ABDOMEN,ABDOMEN
7,MRI_FRR_3,ABDOMEN,ABDOMEN
8,MRI_CCS_11,ABDOMEN,ABDOMEN
9,MRI_CCS_11,ABDOMEN,ABDOMEN
10,MRI_CCS_11,ABDOMEN,ABDOMEN
11,MRI_FRR_3,ABDOMEN,ABDOMEN
12,MRI_FRR_3,ABDOMEN,ABDOMEN
13,MRI_FRR_3,ABDOMEN,ABDOMEN
14,MRI_FRR_3,ABDOMEN,ABDOMEN
15,MRI_FRR_3,ABDOMEN,ABDOMEN
16,MRI_FRR_34,ABDOMEN,ABDOMEN
17,MRI_MSR_100,ABDOMEN,ABDOMEN
0,MRI_MSR_104,ABDOMEN,ABDOMEN
1,MRI_MSR_21,ABDOMEN,ABDOMEN
2,MRI_FRR_257,ABDOMEN,ABDOMEN
3,MRI_FRR_264,ABDOMEN,ABDOMEN
4,MRI_FRR_3,ABDOMEN,ABDOMEN
5,MRI_CCS_11,ABDOMEN,ABDOMEN
6,MRI_FRR_3,ABDOMEN,ABDOMEN
7,MRI_CCS_11,ABDOMEN,ABDOMEN
8,MRI_CCS_11,ABDOMEN,ABDOMEN
9,MRI_CCS_11,ABDOMEN,ABDOMEN
10,MRI_CCS_11,ABDOMEN,ABDOMEN
11,MRI_MSR_100,ABDOMEN,ABDOMEN
0,MRI_MSR_104,ABDOMEN,ABDOMEN
1,MRI_MSR_21,ABDOMEN,ABDOMEN
2,MRI_FRR_257,ABDOMEN,ABDOMEN
3,MRI_FRR_264,ABDOMEN,ABDOMEN
