sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to
MRI_MSR_104,0.0,-1182200,SHOULDER,SHOULDER
MRI_FRR_2,40.0,-1182200,SHOULDER,SHOULDER
MRI_FRR_257,45.0,-1181050,SHOULDER,SHOULDER
MRI_FRR_264,52.0,-1181050,SHOULDER,SHOULDER
MRI_FRR_264,68.0,-1181050,SHOULDER,SHOULDER
MRI_CCS_11,77.0,-1181050,SHOULDER,SHOULDER
MRI_CCS_11,83.0,-1181050,SHOULDER,SHOULDER
MRI_FRR_257,213.0,700,SHOULDER,SHOULDER
MRI_FRR_264,214.0,700,SHOULDER,SHOULDER
MRI_FRR_264,224.0,700,SHOULDER,SHOULDER
MRI_FRR_257,226.0,150,SHOULDER,SHOULDER
MRI_FRR_264,233.00000000000003,150,SHOULDER,SHOULDER
MRI_FRR_3,235.00000000000003,150,SHOULDER,SHOULDER
MRI_MSR_34,281.0,150,SHOULDER,SHOULDER
MRI_MPT_1005,281.0,150,SHOULDER,SHOULDER
MRI_FRR_257,292.0,-1182150,SHOULDER,SHOULDER
MRI_FRR_264,293.0,-1182150,SHOULDER,SHOULDER
MRI_EXU_95,307.0,-1182150,SHOULDER,SHOULDER
MRI_MSR_100,307.0,-1182150,SHOULDER,SHOULDER
MRI_MSR_104,0.0,-1182150,SHOULDER,SHOULDER
MRI_FRR_2,26.0,-1182150,SHOULDER,SHOULDER
MRI_FRR_257,31.000000000000004,-1237050,SHOULDER,SHOULDER
MRI_FRR_264,38.0,-1237050,SHOULDER,SHOULDER
MRI_FRR_264,55.0,-1237050,SHOULDER,SHOULDER
MRI_CCS_11,87.0,-1237050,SHOULDER,SHOULDER
MRI_CCS_11,93.0,-1237050,SHOULDER,SHOULDER
MRI_FRR_257,158.0,250,SHOULDER,SHOULDER
MRI_FRR_264,160.0,250,SHOULDER,SHOULDER
MRI_FRR_264,170.0,250,SHOULDER,SHOULDER
MRI_FRR_257,172.0,150,SHOULDER,SHOULDER
MRI_FRR_264,179.0,150,SHOULDER,SHOULDER
MRI_FRR_3,182.0,150,SHOULDER,SHOULDER
MRI_MSR_34,210.0,150,SHOULDER,SHOULDER
MRI_MPT_1005,210.0,150,SHOULDER,SHOULDER
MRI_FRR_257,219.0,-1182150,SHOULDER,SHOULDER
MRI_FRR_264,221.0,-1182150,SHOULDER,SHOULDER
MRI_EXU_95,235.00000000000003,-1182150,SHOULDER,SHOULDER
MRI_MSR_100,235.00000000000003,-1182150,SHOULDER,SHOULDER
MRI_MSR_104,0.0,-1182150,SHOULDER,SHOULDER
MRI_FRR_2,21.0,-1182150,SHOULDER,SHOULDER
MRI_FRR_257,44.0,-1171200,SHOULDER,SHOULDER
MRI_FRR_264,51.0,-1171200,SHOULDER,SHOULDER
MRI_FRR_264,72.0,-1171200,SHOULDER,SHOULDER
MRI_CCS_11,149.0,-1171200,SHOULDER,SHOULDER
MRI_CCS_11,163.0,-1171200,SHOULDER,SHOULDER
MRI_FRR_264,238.00000000000003,-1171200,SHOULDER,SHOULDER
MRI_FRR_257,250.00000000000003,200,SHOULDER,SHOULDER
MRI_FRR_264,257.0,200,SHOULDER,SHOULDER
MRI_FRR_3,261.0,200,SHOULDER,SHOULDER
MRI_MSR_34,345.0,200,SHOULDER,SHOULDER
MRI_MPT_1005,346.0,200,SHOULDER,SHOULDER
MRI_FRR_257,354.0,-1182050,SHOULDER,SHOULDER
MRI_FRR_264,356.0,-1182050,SHOULDER,SHOULDER
MRI_EXU_95,370.0,-1182050,SHOULDER,SHOULDER
MRI_MSR_100,370.0,-1182050,SHOULDER,SHOULDER
MRI_MSR_104,0.0,-1182050,SHOULDER,SHOULDER
MRI_FRR_2,7.0,-1182050,SHOULDER,SHOULDER
MRI_FRR_257,13.0,-1122000,SHOULDER,SHOULDER
MRI_FRR_264,20.0,-1122000,SHOULDER,SHOULDER
MRI_FRR_264,31.000000000000004,-1122000,SHOULDER,SHOULDER
MRI_FRR_257,102.0,1950,SHOULDER,SHOULDER
MRI_FRR_264,103.0,1950,SHOULDER,SHOULDER
MRI_FRR_264,111.0,1950,SHOULDER,SHOULDER
MRI_FRR_257,145.0,-100,SHOULDER,SHOULDER
MRI_FRR_264,153.0,-100,SHOULDER,SHOULDER
MRI_FRR_3,157.0,-100,SHOULDER,SHOULDER
MRI_MSR_34,195.0,-100,SHOULDER,SHOULDER
MRI_MPT_1005,195.0,-100,SHOULDER,SHOULDER
MRI_FRR_257,232.00000000000003,-1182150,SHOULDER,SHOULDER
MRI_FRR_264,235.00000000000003,-1182150,SHOULDER,SHOULDER
MRI_MSR_100,248.00000000000003,-1182150,SHOULDER,SHOULDER
MRI_MSR_104,0.0,-1182150,SHOULDER,ABDOMEN
MRI_FRR_2,20.0,-1182150,SHOULDER,ABDOMEN
MRI_FRR_257,26.0,-1176900,SHOULDER,ABDOMEN
MRI_FRR_264,34.0,-1176900,SHOULDER,ABDOMEN
MRI_FRR_264,49.0,-1176900,SHOULDER,ABDOMEN
MRI_CCS_11,67.0,-1176900,SHOULDER,ABDOMEN
MRI_FRR_257,142.0,350,SHOULDER,ABDOMEN
MRI_FRR_264,143.0,350,SHOULDER,ABDOMEN
MRI_FRR_264,153.0,350,SHOULDER,ABDOMEN
MRI_CCS_11,214.0,350,SHOULDER,ABDOMEN
MRI_FRR_257,255.00000000000003,-100,SHOULDER,ABDOMEN
MRI_FRR_3,263.0,-100,SHOULDER,ABDOMEN
MRI_FRR_264,263.0,-100,SHOULDER,ABDOMEN
MRI_MSR_34,274.0,-100,SHOULDER,ABDOMEN
MRI_MPT_1005,274.0,-100,SHOULDER,ABDOMEN
MRI_FRR_257,297.0,-1415150,SHOULDER,ABDOMEN
MRI_FRR_264,298.0,-1415150,SHOULDER,ABDOMEN
MRI_MSR_100,313.0,-1415150,SHOULDER,ABDOMEN
MRI_MSR_104,0.0,-1415150,ABDOMEN,SPINE
MRI_FRR_2,42.0,-1415150,ABDOMEN,SPINE
MRI_FRR_257,47.0,-1517050,ABDOMEN,SPINE
MRI_FRR_264,56.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,64.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,65.0,-1517050,ABDOMEN,SPINE
MRI_FRR_264,74.0,-1517050,ABDOMEN,SPINE
MRI_FRR_264,191.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,191.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,203.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,206.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,270.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,272.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,273.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,599.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,601.0,-1517050,ABDOMEN,SPINE
MRI_CCS_11,612.0,-1517050,ABDOMEN,SPINE
MRI_FRR_257,634.0,2250,ABDOMEN,SPINE
MRI_FRR_264,644.0,2250,ABDOMEN,SPINE
MRI_MSR_34,646.0,2250,ABDOMEN,SPINE
MRI_MPT_1005,647.0,2250,ABDOMEN,SPINE
MRI_FRR_3,650.0,2250,ABDOMEN,SPINE
MRI_FRR_257,654.0,-1707100,ABDOMEN,SPINE
MRI_FRR_264,656.0,-1707100,ABDOMEN,SPINE
MRI_EXU_95,671.0,-1707100,ABDOMEN,SPINE
MRI_MSR_100,671.0,-1707100,ABDOMEN,SPINE
MRI_MSR_104,0.0,-1707100,SPINE,PELVIS
MRI_FRR_2,82.0,-1707100,SPINE,PELVIS
MRI_FRR_257,87.0,-1475000,SPINE,PELVIS
MRI_FRR_264,96.0,-1475000,SPINE,PELVIS
MRI_CCS_11,107.0,-1475000,SPINE,PELVIS
MRI_FRR_264,129.0,-1475000,SPINE,PELVIS
MRI_FRR_257,172.0,450,SPINE,PELVIS
MRI_FRR_264,173.0,450,SPINE,PELVIS
MRI_FRR_264,184.0,450,SPINE,PELVIS
MRI_FRR_264,185.0,450,SPINE,PELVIS
MRI_CCS_11,248.00000000000003,450,SPINE,PELVIS
MRI_CCS_11,252.00000000000003,450,SPINE,PELVIS
MRI_FRR_257,278.0,-50,SPINE,PELVIS
MRI_FRR_264,288.0,-50,SPINE,PELVIS
MRI_FRR_3,290.0,-50,SPINE,PELVIS
MRI_MSR_34,303.0,-50,SPINE,PELVIS
MRI_MPT_1005,304.0,-50,SPINE,PELVIS
MRI_FRR_257,310.0,-1707100,SPINE,PELVIS
MRI_FRR_264,312.0,-1707100,SPINE,PELVIS
MRI_MSR_100,325.0,-1707100,SPINE,PELVIS
MRI_MSR_104,0.0,-1707100,PELVIS,SPINE
MRI_FRR_2,6.0,-1707100,PELVIS,SPINE
MRI_FRR_257,11.0,-1714050,PELVIS,SPINE
MRI_FRR_264,21.0,-1714050,PELVIS,SPINE
MRI_CCS_11,29.000000000000004,-1714050,PELVIS,SPINE
MRI_CCS_11,30.000000000000004,-1714050,PELVIS,SPINE
MRI_FRR_264,43.0,-1714050,PELVIS,SPINE
MRI_FRR_264,130.0,-1714050,PELVIS,SPINE
MRI_CCS_11,167.0,-1714050,PELVIS,SPINE
MRI_CCS_11,169.0,-1714050,PELVIS,SPINE
MRI_CCS_11,180.0,-1714050,PELVIS,SPINE
MRI_CCS_11,181.0,-1714050,PELVIS,SPINE
MRI_MSR_34,244.00000000000003,-1714050,PELVIS,SPINE
MRI_MPT_1005,244.00000000000003,-1714050,PELVIS,SPINE
MRI_FRR_257,260.0,150,PELVIS,SPINE
MRI_FRR_264,270.0,150,PELVIS,SPINE
MRI_FRR_3,279.0,150,PELVIS,SPINE
MRI_MSR_100,294.0,150,PELVIS,SPINE
MRI_MSR_104,0.0,150,SPINE,SPINE
MRI_FRR_2,29.000000000000004,150,SPINE,SPINE
MRI_FRR_257,38.0,-1456850,SPINE,SPINE
MRI_FRR_264,47.0,-1456850,SPINE,SPINE
MRI_FRR_264,51.0,-1456850,SPINE,SPINE
MRI_FRR_264,60.00000000000001,-1456850,SPINE,SPINE
MRI_CCS_11,60.00000000000001,-1456850,SPINE,SPINE
MRI_CCS_11,70.0,-1456850,SPINE,SPINE
MRI_CCS_11,92.0,-1456850,SPINE,SPINE
MRI_CCS_11,93.0,-1456850,SPINE,SPINE
MRI_FRR_257,107.0,300,SPINE,SPINE
MRI_FRR_264,109.0,300,SPINE,SPINE
MRI_MSR_34,119.0,300,SPINE,SPINE
MRI_FRR_264,119.0,300,SPINE,SPINE
MRI_MPT_1005,120.0,300,SPINE,SPINE
MRI_FRR_2,131.0,300,SPINE,SPINE
MRI_CCS_11,148.0,300,SPINE,SPINE
MRI_FRR_257,155.0,-100,SPINE,SPINE
MRI_FRR_264,162.0,-100,SPINE,SPINE
MRI_FRR_2,164.0,-100,SPINE,SPINE
MRI_FRR_3,165.0,-100,SPINE,SPINE
MRI_EXU_95,175.0,-100,SPINE,SPINE
MRI_MSR_100,175.0,-100,SPINE,SPINE
MRI_MSR_104,0.0,-100,SPINE,SPINE
MRI_FRR_2,3.0,-100,SPINE,SPINE
