SeqOrder,sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to
0,11,0.0,-708250,6,9
1,4,14.0,-1608950,6,9
2,13,15.000000000000002,-1608950,6,9
3,5,24.0,-1608950,6,9
4,9,33.0,-1608950,6,9
5,1,57.0,-1608950,6,9
6,5,63.00000000000001,-1608950,6,9
7,4,179.0,550,6,9
8,5,181.0,550,6,9
9,5,194.0,550,6,9
10,1,210.0,550,6,9
11,4,251.00000000000003,-550,6,9
12,5,256.0,-550,6,9
13,4,256.0,-591200,6,9
14,5,257.0,-591200,6,9
15,4,257.0,-579800,6,9
16,5,261.0,-579800,6,9
17,4,261.0,-473400,6,9
18,5,262.0,-473400,6,9
19,8,263.0,-473400,6,9
20,4,263.0,-448700,6,9
21,5,269.0,-448700,6,9
0,10,304.0,-448700,6,9
1,11,0.0,-448700,9,7
2,13,8.0,-448700,9,7
3,4,41.0,-1352150,9,7
4,5,49.0,-1352150,9,7
5,1,59.00000000000001,-1352150,9,7
6,5,63.00000000000001,-1352150,9,7
7,1,91.0,-1352150,9,7
8,4,250.00000000000003,650,9,7
9,5,251.00000000000003,650,9,7
10,5,261.0,650,9,7
11,4,261.0,-250,9,7
12,5,263.0,-250,9,7
13,1,281.0,-250,9,7
14,4,296.0,-200,9,7
15,5,301.0,-200,9,7
16,8,302.0,-200,9,7
17,4,302.0,-248650,9,7
18,5,308.0,-248650,9,7
19,9,345.0,-248650,9,7
0,10,367.0,-248650,9,7
1,11,0.0,-248650,7,3
2,4,24.0,-1152950,7,3
3,13,25.0,-1152950,7,3
4,5,31.000000000000004,-1152950,7,3
5,9,44.0,-1152950,7,3
6,5,72.0,-1152950,7,3
7,1,80.0,-1152950,7,3
8,5,83.0,-1152950,7,3
9,4,124.0,300,7,3
10,5,126.0,300,7,3
11,5,137.0,300,7,3
12,1,138.0,300,7,3
13,1,155.0,300,7,3
14,5,172.0,300,7,3
15,4,212.0,-850,7,3
16,5,213.0,-850,7,3
17,5,221.0,-850,7,3
18,4,221.0,750,7,3
19,5,222.0,750,7,3
20,1,230.00000000000003,750,7,3
21,4,230.00000000000003,150,7,3
22,5,233.00000000000003,150,7,3
23,4,233.00000000000003,-222450,7,3
24,5,234.00000000000003,-222450,7,3
25,8,235.00000000000003,-222450,7,3
26,4,235.00000000000003,-245900,7,3
27,5,241.00000000000003,-245900,7,3
0,10,265.0,-245900,7,3
1,11,0.0,-245900,3,7
2,4,13.0,-1171850,3,7
3,5,20.0,-1171850,3,7
4,1,28.0,-1171850,3,7
5,1,33.0,-1171850,3,7
6,5,33.0,-1171850,3,7
7,13,141.0,-1171850,3,7
8,9,154.0,-1171850,3,7
9,4,245.00000000000003,1000,3,7
10,5,246.00000000000003,1000,3,7
11,5,254.00000000000003,1000,3,7
12,4,254.00000000000003,-1950,3,7
13,5,255.00000000000003,-1950,3,7
14,1,271.0,-1950,3,7
15,4,274.0,400,3,7
16,5,277.0,400,3,7
17,4,278.0,-255100,3,7
18,5,278.0,-255100,3,7
19,8,280.0,-255100,3,7
20,4,280.0,-254750,3,7
21,5,286.0,-254750,3,7
0,10,320.0,-254750,3,7
1,11,0.0,-254750,7,10
2,4,54.0,-1184950,7,10
3,13,54.0,-1184950,7,10
4,5,61.00000000000001,-1184950,7,10
5,5,92.0,-1184950,7,10
6,1,101.0,-1184950,7,10
7,1,1781.0,-1184950,7,10
8,4,1793.0,1050,7,10
9,5,1794.0,1050,7,10
10,5,1802.0,1050,7,10
11,4,1803.0,-2950,7,10
12,5,1803.0,-2950,7,10
13,5,1804.0,-2950,7,10
14,1,1813.0,-2950,7,10
15,4,1814.0,450,7,10
16,5,1817.0,450,7,10
17,4,1817.0,-287350,7,10
18,5,1818.0,-287350,7,10
19,8,1824.0,-287350,7,10
20,4,1824.0,-348100,7,10
21,5,1830.0,-348100,7,10
22,9,1863.0,-348100,7,10
23,4,1884.0,-1267900,7,10
24,5,1888.0,-1267900,7,10
25,4,1888.0,-763250,7,10
26,5,1890.0,-763250,7,10
27,8,1890.0,-763250,7,10
28,4,1890.0,-829850,7,10
29,5,1896.0,-829850,7,10
0,10,1930.0,-829850,7,10
1,11,0.0,-829850,10,10
0,10,0.0,-829850,10,10
1,11,0.0,-829850,10,3
2,4,18.0,-1467900,10,3
