sourceID_decoded,BodyGroup_from_decoded,BodyGroup_to_decoded,Predicted_timediff
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,18.57558822631836
MRI_FRR_257,ABDOMEN,ABDOMEN,22.080615997314453
MRI_FRR_264,ABDOMEN,ABDOMEN,20.957489013671875
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_CCS_11,ABDOMEN,ABDOMEN,24.17180633544922
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_CCS_11,ABDOMEN,ABDOMEN,24.17180633544922
MRI_CCS_11,ABDOMEN,ABDOMEN,24.17180633544922
MRI_CCS_11,ABDOMEN,ABDOMEN,24.17180633544922
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_FRR_34,ABDOMEN,ABDOMEN,19.304710388183594
MRI_MSR_100,ABDOMEN,ABDOMEN,18.63409996032715
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,18.57558822631836
MRI_FRR_257,ABDOMEN,ABDOMEN,22.080615997314453
MRI_FRR_264,ABDOMEN,ABDOMEN,20.957489013671875
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_CCS_11,ABDOMEN,ABDOMEN,24.17180633544922
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_CCS_11,ABDOMEN,ABDOMEN,24.17180633544922
MRI_CCS_11,ABDOMEN,ABDOMEN,24.17180633544922
MRI_CCS_11,ABDOMEN,ABDOMEN,24.17180633544922
MRI_CCS_11,ABDOMEN,ABDOMEN,24.17180633544922
MRI_MSR_100,ABDOMEN,ABDOMEN,18.63409996032715
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,18.575592041015625
MRI_FRR_257,ABDOMEN,ABDOMEN,22.080615997314453
MRI_FRR_264,ABDOMEN,ABDOMEN,20.957489013671875
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_CCS_11,ABDOMEN,ABDOMEN,24.17180633544922
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
MRI_FRR_3,ABDOMEN,ABDOMEN,20.001537322998047
