SeqOrder,sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to
0,10.0,0.0,-1182200,9,9
1,0.0,40.0,-1182200,9,9
2,4.0,45.0,-1181050,9,9
3,5.0,52.0,-1181050,9,9
4,5.0,68.0,-1181050,9,9
5,1.0,77.0,-1181050,9,9
6,1.0,83.0,-1181050,9,9
7,4.0,213.0,700,9,9
8,5.0,214.0,700,9,9
9,5.0,224.0,700,9,9
10,4.0,226.0,150,9,9
11,5.0,233.00000000000003,150,9,9
12,6.0,235.00000000000003,150,9,9
13,12.0,281.0,150,9,9
14,8.0,281.0,150,9,9
15,4.0,292.0,-1182150,9,9
16,5.0,293.0,-1182150,9,9
17,2.0,307.0,-1182150,9,9
18,9.0,307.0,-1182150,9,9
0,10.0,0.0,-1182150,9,9
1,0.0,26.0,-1182150,9,9
2,4.0,31.000000000000004,-1237050,9,9
3,5.0,38.0,-1237050,9,9
4,5.0,55.0,-1237050,9,9
5,1.0,87.0,-1237050,9,9
6,1.0,93.0,-1237050,9,9
7,4.0,158.0,250,9,9
8,5.0,160.0,250,9,9
9,5.0,170.0,250,9,9
10,4.0,172.0,150,9,9
11,5.0,179.0,150,9,9
12,6.0,182.0,150,9,9
13,12.0,210.0,150,9,9
14,8.0,210.0,150,9,9
15,4.0,219.0,-1182150,9,9
16,5.0,221.0,-1182150,9,9
17,2.0,235.00000000000003,-1182150,9,9
18,9.0,235.00000000000003,-1182150,9,9
0,10.0,0.0,-1182150,9,9
1,0.0,21.0,-1182150,9,9
2,4.0,44.0,-1171200,9,9
3,5.0,51.0,-1171200,9,9
4,5.0,72.0,-1171200,9,9
5,1.0,149.0,-1171200,9,9
6,1.0,163.0,-1171200,9,9
7,5.0,238.00000000000003,-1171200,9,9
8,4.0,250.00000000000003,200,9,9
9,5.0,257.0,200,9,9
10,6.0,261.0,200,9,9
11,12.0,345.0,200,9,9
12,8.0,346.0,200,9,9
13,4.0,354.0,-1182050,9,9
14,5.0,356.0,-1182050,9,9
15,2.0,370.0,-1182050,9,9
16,9.0,370.0,-1182050,9,9
0,10.0,0.0,-1182050,9,9
1,0.0,7.0,-1182050,9,9
2,4.0,13.0,-1122000,9,9
3,5.0,20.0,-1122000,9,9
4,5.0,31.000000000000004,-1122000,9,9
5,4.0,102.0,1950,9,9
6,5.0,103.0,1950,9,9
7,5.0,111.0,1950,9,9
8,4.0,145.0,-100,9,9
9,5.0,153.0,-100,9,9
10,6.0,157.0,-100,9,9
11,12.0,195.0,-100,9,9
12,8.0,195.0,-100,9,9
13,4.0,232.00000000000003,-1182150,9,9
14,5.0,235.00000000000003,-1182150,9,9
15,9.0,248.00000000000003,-1182150,9,9
0,10.0,0.0,-1182150,9,1
1,0.0,20.0,-1182150,9,1
2,4.0,26.0,-1176900,9,1
3,5.0,34.0,-1176900,9,1
4,5.0,49.0,-1176900,9,1
5,1.0,67.0,-1176900,9,1
6,4.0,142.0,350,9,1
7,5.0,143.0,350,9,1
8,5.0,153.0,350,9,1
9,1.0,214.0,350,9,1
10,4.0,255.00000000000003,-100,9,1
11,6.0,263.0,-100,9,1
12,5.0,263.0,-100,9,1
13,12.0,274.0,-100,9,1
14,8.0,274.0,-100,9,1
15,4.0,297.0,-1415150,9,1
16,5.0,298.0,-1415150,9,1
17,9.0,313.0,-1415150,9,1
0,10.0,0.0,-1415150,1,10
1,0.0,42.0,-1415150,1,10
2,4.0,47.0,-1517050,1,10
3,5.0,56.0,-1517050,1,10
4,1.0,64.0,-1517050,1,10
5,1.0,65.0,-1517050,1,10
6,5.0,74.0,-1517050,1,10
7,5.0,191.0,-1517050,1,10
8,1.0,191.0,-1517050,1,10
9,1.0,203.0,-1517050,1,10
10,1.0,206.0,-1517050,1,10
11,1.0,270.0,-1517050,1,10
12,1.0,272.0,-1517050,1,10
13,1.0,273.0,-1517050,1,10
14,1.0,599.0,-1517050,1,10
15,1.0,601.0,-1517050,1,10
16,1.0,612.0,-1517050,1,10
17,4.0,634.0,2250,1,10
18,5.0,644.0,2250,1,10
19,12.0,646.0,2250,1,10
20,8.0,647.0,2250,1,10
21,6.0,650.0,2250,1,10
22,4.0,654.0,-1707100,1,10
23,5.0,656.0,-1707100,1,10
24,2.0,671.0,-1707100,1,10
25,9.0,671.0,-1707100,1,10
0,10.0,0.0,-1707100,10,8
1,0.0,82.0,-1707100,10,8
2,4.0,87.0,-1475000,10,8
3,5.0,96.0,-1475000,10,8
4,1.0,107.0,-1475000,10,8
5,5.0,129.0,-1475000,10,8
6,4.0,172.0,450,10,8
7,5.0,173.0,450,10,8
8,5.0,184.0,450,10,8
9,5.0,185.0,450,10,8
10,1.0,248.00000000000003,450,10,8
11,1.0,252.00000000000003,450,10,8
12,4.0,278.0,-50,10,8
13,5.0,288.0,-50,10,8
14,6.0,290.0,-50,10,8
15,12.0,303.0,-50,10,8
16,8.0,304.0,-50,10,8
17,4.0,310.0,-1707100,10,8
18,5.0,312.0,-1707100,10,8
19,9.0,325.0,-1707100,10,8
0,10.0,0.0,-1707100,8,10
1,0.0,6.0,-1707100,8,10
2,4.0,11.0,-1714050,8,10
3,5.0,21.0,-1714050,8,10
4,1.0,29.000000000000004,-1714050,8,10
5,1.0,30.000000000000004,-1714050,8,10
6,5.0,43.0,-1714050,8,10
7,5.0,130.0,-1714050,8,10
8,1.0,167.0,-1714050,8,10
9,1.0,169.0,-1714050,8,10
