SeqOrder,sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to
0,11,0.0,-1182200,9,9
1,6,40.0,-1182200,9,9
2,4,45.0,-1181050,9,9
3,5,52.0,-1181050,9,9
4,5,68.0,-1181050,9,9
5,1,77.0,-1181050,9,9
6,1,83.0,-1181050,9,9
7,4,213.0,700,9,9
8,5,214.0,700,9,9
9,5,224.0,700,9,9
10,4,226.0,150,9,9
11,5,233.00000000000003,150,9,9
12,7,235.00000000000003,150,9,9
13,13,281.0,150,9,9
14,9,281.0,150,9,9
15,4,292.0,-1182150,9,9
16,5,293.0,-1182150,9,9
17,2,307.0,-1182150,9,9
0,10,307.0,-1182150,9,9
1,11,0.0,-1182150,9,9
2,6,26.0,-1182150,9,9
3,4,31.000000000000004,-1237050,9,9
4,5,38.0,-1237050,9,9
5,5,55.0,-1237050,9,9
6,1,87.0,-1237050,9,9
7,1,93.0,-1237050,9,9
8,4,158.0,250,9,9
9,5,160.0,250,9,9
10,5,170.0,250,9,9
11,4,172.0,150,9,9
12,5,179.0,150,9,9
13,7,182.0,150,9,9
14,13,210.0,150,9,9
15,9,210.0,150,9,9
16,4,219.0,-1182150,9,9
17,5,221.0,-1182150,9,9
18,2,235.00000000000003,-1182150,9,9
0,10,235.00000000000003,-1182150,9,9
1,11,0.0,-1182150,9,9
2,6,21.0,-1182150,9,9
3,4,44.0,-1171200,9,9
4,5,51.0,-1171200,9,9
5,5,72.0,-1171200,9,9
6,1,149.0,-1171200,9,9
7,1,163.0,-1171200,9,9
8,5,238.00000000000003,-1171200,9,9
9,4,250.00000000000003,200,9,9
10,5,257.0,200,9,9
11,7,261.0,200,9,9
12,13,345.0,200,9,9
13,9,346.0,200,9,9
14,4,354.0,-1182050,9,9
15,5,356.0,-1182050,9,9
16,2,370.0,-1182050,9,9
0,10,370.0,-1182050,9,9
1,11,0.0,-1182050,9,9
2,6,7.0,-1182050,9,9
3,4,13.0,-1122000,9,9
4,5,20.0,-1122000,9,9
5,5,31.000000000000004,-1122000,9,9
6,4,102.0,1950,9,9
7,5,103.0,1950,9,9
8,5,111.0,1950,9,9
9,4,145.0,-100,9,9
10,5,153.0,-100,9,9
11,7,157.0,-100,9,9
12,13,195.0,-100,9,9
13,9,195.0,-100,9,9
14,4,232.00000000000003,-1182150,9,9
15,5,235.00000000000003,-1182150,9,9
0,10,248.00000000000003,-1182150,9,9
1,11,0.0,-1182150,9,1
2,6,20.0,-1182150,9,1
3,4,26.0,-1176900,9,1
4,5,34.0,-1176900,9,1
5,5,49.0,-1176900,9,1
6,1,67.0,-1176900,9,1
7,4,142.0,350,9,1
8,5,143.0,350,9,1
9,5,153.0,350,9,1
10,1,214.0,350,9,1
11,4,255.00000000000003,-100,9,1
12,7,263.0,-100,9,1
13,5,263.0,-100,9,1
14,13,274.0,-100,9,1
15,9,274.0,-100,9,1
16,4,297.0,-1415150,9,1
17,5,298.0,-1415150,9,1
0,10,313.0,-1415150,9,1
1,11,0.0,-1415150,1,10
2,6,42.0,-1415150,1,10
3,4,47.0,-1517050,1,10
4,5,56.0,-1517050,1,10
5,1,64.0,-1517050,1,10
6,1,65.0,-1517050,1,10
7,5,74.0,-1517050,1,10
8,5,191.0,-1517050,1,10
9,1,191.0,-1517050,1,10
10,1,203.0,-1517050,1,10
11,1,206.0,-1517050,1,10
12,1,270.0,-1517050,1,10
13,1,272.0,-1517050,1,10
14,1,273.0,-1517050,1,10
15,1,599.0,-1517050,1,10
16,1,601.0,-1517050,1,10
17,1,612.0,-1517050,1,10
18,4,634.0,2250,1,10
19,5,644.0,2250,1,10
20,13,646.0,2250,1,10
21,9,647.0,2250,1,10
22,7,650.0,2250,1,10
23,4,654.0,-1707100,1,10
24,5,656.0,-1707100,1,10
25,2,671.0,-1707100,1,10
0,10,671.0,-1707100,1,10
1,11,0.0,-1707100,10,8
2,6,82.0,-1707100,10,8
3,4,87.0,-1475000,10,8
4,5,96.0,-1475000,10,8
5,1,107.0,-1475000,10,8
6,5,129.0,-1475000,10,8
7,4,172.0,450,10,8
8,5,173.0,450,10,8
9,5,184.0,450,10,8
10,5,185.0,450,10,8
11,1,248.00000000000003,450,10,8
12,1,252.00000000000003,450,10,8
13,4,278.0,-50,10,8
14,5,288.0,-50,10,8
15,7,290.0,-50,10,8
16,13,303.0,-50,10,8
17,9,304.0,-50,10,8
18,4,310.0,-1707100,10,8
19,5,312.0,-1707100,10,8
0,10,325.0,-1707100,10,8
1,11,0.0,-1707100,8,10
2,6,6.0,-1707100,8,10
