Sequence,Step,Predicted_Proportion,Predicted_Increment,Predicted_Cumulative,GroundTruth_Increment,GroundTruth_Cumulative,LSTM_Predicted_TimeDiff,LSTM_Predicted_Cumulative,LSTM_Predicted_TotalTime,TimeDiff_Improvement_Abs,Cumulative_Improvement_Abs,decoded_sourceID,BodyGroup_to,BodyGroup_from,SN
0,1,0.058613934,15.181008,30.692078,42.0,42.0,7.9831114,7.9831114,0.14598766,-7.197896618469237,-22.70896661846924,MRI_MSR_104,HEAD,HEAD,175974
0,2,0.058657717,15.1923485,45.884426,10.0,52.0,8.144967,16.128078,0.14598766,3.337315579162597,-29.75634753930664,MRI_FRR_257,HEAD,HEAD,175974
0,3,0.058133285,15.056521,60.94095,10.0,62.0,8.1666565,24.294735,0.14598766,3.223177494140625,-36.64621504516602,MRI_FRR_264,HEAD,HEAD,175974
0,4,0.058405895,15.127127,76.06808,2.0,64.0,8.165462,32.460197,0.14598766,6.961665459777832,-19.471722551269536,MRI_FRR_264,HEAD,HEAD,175974
0,5,0.059545767,15.422354,91.49043,93.0,157.0,7.985576,40.445774,0.14598766,-7.436777847198485,-51.04465592163086,MRI_CCS_11,HEAD,HEAD,175974
0,6,0.059941504,15.52485,107.01528,9.0,166.0,7.965937,48.411713,0.14598766,5.4907871376037605,-58.60356735351563,MRI_CCS_11,HEAD,HEAD,175974
0,7,0.05926712,15.3501835,122.36546,1.0,167.0,7.7395515,56.151264,0.14598766,7.610631955810547,-66.21419580932617,MRI_FRR_264,HEAD,HEAD,175974
0,8,0.060026366,15.546829,137.9123,2.0,169.0,7.2313886,63.382652,0.14598766,8.315440431121827,-74.52964771728514,MRI_FRR_257,HEAD,HEAD,175974
0,9,0.05935375,15.372622,153.28491,2.0,171.0,6.2793508,69.662,0.14598766,9.093271242401125,-83.62290743652343,MRI_FRR_264,HEAD,HEAD,175974
0,10,0.059743606,15.473594,168.7585,2.0,173.0,4.477065,74.13907,0.14598766,10.996528913635254,-94.61943139648436,MRI_FRR_257,HEAD,HEAD,175974
0,11,0.058660638,15.193105,183.9516,1.0,174.0,2.2429016,76.38197,0.14598766,12.95020343635559,-87.66642673339842,MRI_FRR_264,HEAD,HEAD,175974
0,12,0.058495075,15.150225,199.10182,0.0,174.0,0.58105886,76.963036,0.14598766,14.569166140174866,-71.9351444165039,MRI_FRR_34,HEAD,HEAD,175974
0,13,0.058192696,15.071908,214.17374,6.0,180.0,0.0,76.963036,0.14598766,3.0719080000000005,-68.8632244165039,MRI_FRR_257,HEAD,HEAD,175974
0,14,0.057425335,14.873161,229.0469,8.0,188.0,0.0,76.963036,0.14598766,-1.1268390000000004,-69.99006441650391,MRI_FRR_264,HEAD,HEAD,175974
0,15,0.057605714,14.91988,243.96678,71.0,259.0,0.0,76.963036,0.14598766,-14.91988,-167.0037444165039,MRI_MSR_34,HEAD,HEAD,175974
0,16,0.058043323,15.033221,259.0,-259.0,0.0,0.0,76.963036,0.14598766,15.033221000000026,182.0369644165039,MRI_MPT_1005,HEAD,HEAD,175974
1,1,0.03876341,9.690853,19.514172,-281.0,0.0,7.288088,7.288088,0.15608402,2.402765155151372,12.226084155151366,MRI_MSR_100,HEAD,HEAD,175974
1,2,0.038307216,9.576804,29.090977,41.0,41.0,8.099552,15.38764,0.15608402,-1.4772518454589836,-13.70333700061035,MRI_MSR_104,ABDOMEN,HEAD,175974
1,3,0.038570058,9.642514,38.73349,8.0,49.0,8.168904,23.556545,0.15608402,1.4736096954956055,-15.176944742431644,MRI_FRR_257,ABDOMEN,HEAD,175974
1,4,0.03834179,9.585447,48.31894,3.0,52.0,8.168627,31.725172,0.15608402,1.41682021472168,-16.593767957153318,MRI_FRR_264,ABDOMEN,HEAD,175974
1,5,0.039103813,9.775953,58.094894,6.0,58.0,8.164685,39.88986,0.15608402,1.6112677506713862,-18.0152477541504,MRI_CCS_11,ABDOMEN,HEAD,175974
1,6,0.038766257,9.691565,67.78646,21.0,79.0,8.16226,48.052116,0.15608402,-1.5293049444580085,-19.73434360595704,MRI_FRR_264,ABDOMEN,HEAD,175974
1,7,0.039506562,9.87664,77.6631,1.0,80.0,8.162039,56.214157,0.15608402,1.714601196899414,-21.448942895507813,MRI_CCS_11,ABDOMEN,HEAD,175974
1,8,0.039556194,9.889049,87.55215,62.0,142.0,8.092899,64.30705,0.15608402,-1.7961496774902344,-23.24509738769531,MRI_CCS_11,ABDOMEN,HEAD,175974
1,9,0.039371904,9.842976,97.39513,1.0,143.0,8.153089,72.460144,0.15608402,1.6898874303588869,-24.934985957031245,MRI_FRR_257,ABDOMEN,HEAD,175974
1,10,0.038791433,9.697858,107.09299,3.0,146.0,8.1322975,80.59244,0.15608402,1.5655604841308597,-26.50055225585937,MRI_FRR_264,ABDOMEN,HEAD,175974
1,11,0.038949702,9.737426,116.830414,7.0,153.0,8.073585,88.66602,0.15608402,1.6638414434204094,-28.16439074560548,MRI_CCS_11,ABDOMEN,HEAD,175974
1,12,0.038114596,9.528649,126.35906,23.0,176.0,7.890758,96.55678,0.15608402,-1.637890962432861,-29.80228204589844,MRI_FRR_264,ABDOMEN,HEAD,175974
1,13,0.038182225,9.545556,135.90462,7.0,183.0,7.6903467,104.24712,0.15608402,1.8552092821655268,-31.657496281738275,MRI_FRR_257,ABDOMEN,HEAD,175974
1,14,0.037676286,9.419071,145.32368,2.0,185.0,7.341544,111.58867,0.15608402,2.0775268486938483,-33.73501117675781,MRI_FRR_264,ABDOMEN,HEAD,175974
1,15,0.0381658,9.5414505,154.86514,2.0,187.0,6.737412,118.32608,0.15608402,2.804038524139404,-36.53905967773437,MRI_FRR_257,ABDOMEN,HEAD,175974
1,16,0.037916157,9.479039,164.34418,10.0,197.0,5.5728498,123.89893,0.15608402,-3.9061892494812014,-40.44524658935546,MRI_FRR_264,ABDOMEN,HEAD,175974
1,17,0.03835135,9.587837,173.932,1.0,198.0,3.6523926,127.55132,0.15608402,5.935444374191285,-46.38067706298827,MRI_FRR_257,ABDOMEN,HEAD,175974
1,18,0.037778486,9.444621,183.37663,4.0,202.0,0.9369703,128.4883,0.15608402,2.381591293521881,-54.88833349121094,MRI_FRR_264,ABDOMEN,HEAD,175974
1,19,0.03778228,9.44557,192.8222,0.0,202.0,0.0,128.4883,0.15608402,9.44557,-64.33390349121095,MRI_FRR_34,ABDOMEN,HEAD,175974
1,20,0.03786097,9.465242,202.28745,3.0,205.0,0.0,128.4883,0.15608402,3.465242,-73.79915349121094,MRI_FRR_257,ABDOMEN,HEAD,175974
1,21,0.03754052,9.38513,211.67258,3.0,208.0,0.0,128.4883,0.15608402,3.38513,-75.83912349121093,MRI_MSR_34,ABDOMEN,HEAD,175974
1,22,0.037907626,9.476907,221.14949,30.0,238.0,0.0,128.4883,0.15608402,-9.476907,-92.66119349121092,MRI_FRR_264,ABDOMEN,HEAD,175974
1,23,0.038363468,9.590867,230.74036,10.0,248.0,0.0,128.4883,0.15608402,-9.590867,-102.25206349121096,MRI_MPT_1005,ABDOMEN,HEAD,175974
1,24,0.038767572,9.691894,240.43225,2.0,250.0,0.0,128.4883,0.15608402,5.691894,-111.94395349121096,MRI_FRR_257,ABDOMEN,HEAD,175974
1,25,0.038271036,9.567759,250.00002,-250.0,0.0,0.0,128.4883,0.15608402,9.567759000000024,121.51172349121094,MRI_FRR_264,ABDOMEN,HEAD,175974
2,1,0.045791104,21.704983,43.706657,-268.0,0.0,7.6230183,7.6230183,0.15227957,14.081964735229462,36.08363873522949,MRI_MSR_100,ABDOMEN,HEAD,175974
2,2,0.045252204,21.449545,65.156204,95.0,95.0,8.1105585,15.733577,0.15227957,-13.33898649017334,-49.422627225402834,MRI_MSR_104,ARM,ABDOMEN,175974
2,3,0.045562692,21.596716,86.75292,12.0,107.0,8.170749,23.904325,0.15227957,5.767464710632325,-62.84859451477051,MRI_FRR_257,ARM,ABDOMEN,175974
2,4,0.045293044,21.468903,108.221825,11.0,118.0,8.170403,32.07473,0.15227957,7.63930552685547,-76.1470950805664,MRI_FRR_264,ARM,ABDOMEN,175974
2,5,0.04619322,21.895586,130.11742,4.0,122.0,8.164952,40.23968,0.15227957,13.730633721862796,-73.6428987561035,MRI_CCS_11,ARM,ABDOMEN,175974
2,6,0.045794465,21.706575,151.82399,114.0,236.0,8.119312,48.358994,0.15227957,-13.587262713623048,-103.46499646972656,MRI_FRR_264,ARM,ABDOMEN,175974
2,7,0.046668988,22.1211,173.94508,49.0,285.0,8.135424,56.494415,0.15227957,-13.985676339721678,-117.45066471679688,MRI_CCS_11,ARM,ABDOMEN,175974
2,8,0.04672762,22.148891,196.09398,12.0,297.0,8.128646,64.62306,0.15227957,6.27753689691162,-131.47091786621093,MRI_CCS_11,ARM,ABDOMEN,175974
2,9,0.046689708,22.130922,218.2249,57.0,354.0,7.946745,72.56981,0.15227957,-14.184177081176756,-145.65509104003905,MRI_CCS_11,ARM,ABDOMEN,175974
2,10,0.046319593,21.955486,240.18039,2.0,356.0,7.8424234,80.41223,0.15227957,14.113062560974122,-159.7681585546875,MRI_FRR_257,ARM,ABDOMEN,175974
2,11,0.0454629,21.549414,261.7298,11.0,367.0,7.491452,87.90369,0.15227957,7.0408662171020495,-173.8261134765625,MRI_FRR_264,ARM,ABDOMEN,175974
2,12,0.045022152,21.3405,283.0703,25.0,392.0,6.9644446,94.86813,0.15227957,-14.376055362701416,-188.2021664550781,MRI_FRR_264,ARM,ABDOMEN,175974
2,13,0.045101713,21.378212,304.44852,7.0,399.0,5.855632,100.72376,0.15227957,13.233843828308109,-203.7247574877929,MRI_FRR_257,ARM,ABDOMEN,175974
2,14,0.04450427,21.095024,325.54355,2.0,401.0,3.7278163,104.45158,0.15227957,17.367207656692504,-221.09197376708985,MRI_FRR_264,ARM,ABDOMEN,175974
2,15,0.04508263,21.369165,346.91272,2.0,403.0,0.75711775,105.208694,0.15227957,18.126282748260497,-241.70402554199217,MRI_FRR_257,ARM,ABDOMEN,175974
2,16,0.044787526,21.229288,368.142,5.0,408.0,0.0,105.208694,0.15227957,11.229288,-262.9333055419922,MRI_FRR_264,ARM,ABDOMEN,175974
2,17,0.04508147,21.368616,389.51062,0.0,408.0,0.0,105.208694,0.15227957,21.368616,-284.3019255419922,MRI_FRR_34,ARM,ABDOMEN,175974
2,18,0.045124028,21.38879,410.8994,6.0,414.0,0.0,105.208694,0.15227957,9.38879,-305.6907055419922,MRI_FRR_257,ARM,ABDOMEN,175974
2,19,0.04440313,21.047083,431.9465,5.0,419.0,0.0,105.208694,0.15227957,11.047083,-300.8448055419922,MRI_FRR_264,ARM,ABDOMEN,175974
2,20,0.044188377,20.94529,452.89178,55.0,474.0,0.0,105.208694,0.15227957,-20.94529,-347.68308554199217,MRI_MSR_34,ARM,ABDOMEN,175974
2,21,0.044532154,21.10824,474.00003,-474.0,0.0,0.0,105.208694,0.15227957,21.108240000000023,368.79133554199217,MRI_MPT_1005,ARM,ABDOMEN,175974
3,1,0.022527235,15.521265,31.254694,-531.0,0.0,7.3370543,7.3370543,0.16168667,8.18421074737546,23.91763974737549,MRI_MSR_100,ARM,ABDOMEN,175974
3,2,0.022262119,15.3386,46.593292,36.0,36.0,8.108383,15.445437,0.16168667,-7.230216821289062,-9.961270568664553,MRI_MSR_104,HEAD,ARM,175974
3,3,0.022414867,15.443843,62.037136,11.0,47.0,8.148165,23.593601,0.16168667,1.5920077491455071,-8.369262773193363,MRI_FRR_257,HEAD,ARM,175974
3,4,0.02228221,15.352442,77.38958,15.0,62.0,8.1475115,31.741112,0.16168667,-6.500046517761231,-14.869308244628913,MRI_FRR_264,HEAD,ARM,175974
3,5,0.022514652,15.512595,92.902176,3.0,65.0,8.138621,39.879734,0.16168667,7.373973669738769,2.781910039306638,MRI_MSR_34,HEAD,ARM,175974
