Row_Number,Sequence,Step,Predicted_Proportion,Predicted_Increment,Predicted_Cumulative,GroundTruth_Increment,GroundTruth_Cumulative,LSTM_Predicted_TimeDiff,LSTM_Predicted_Cumulative,LSTM_Predicted_TotalTime,TimeDiff_Improvement_Abs,Cumulative_Improvement_Abs,SN,decoded_sourceID,BodyGroup_to,BodyGroup_from
1,0,1,0.051670935,15.862977,32.038822,40.0,40.0,18.76267,18.76267,0.0070198253,2.8996935169677727,-13.27615148303223,182625,MRI_MSR_104,SHOULDER,SHOULDER
2,0,2,0.051957875,15.951068,47.98989,5.0,45.0,18.883,37.645668,0.0070198253,-2.9319314201660163,-4.364441970214841,182625,MRI_FRR_2,SHOULDER,SHOULDER
3,0,3,0.05278735,16.205715,64.1956,7.0,52.0,18.902866,56.548534,0.0070198253,-2.697151363525389,7.647065606689452,182625,MRI_FRR_257,SHOULDER,SHOULDER
4,0,4,0.052797448,16.208817,80.40442,16.0,68.0,18.912868,75.4614,0.0070198253,-2.70405149975586,4.943017106933596,182625,MRI_FRR_264,SHOULDER,SHOULDER
5,0,5,0.05282869,16.218407,96.622826,9.0,77.0,18.872372,94.33377,0.0070198253,-2.653964673583985,2.2890552480468784,182625,MRI_FRR_264,SHOULDER,SHOULDER
6,0,6,0.05220054,16.025566,112.64839,6.0,83.0,18.840307,113.17408,0.0070198253,-2.814741235717772,-0.525689895019525,182625,MRI_CCS_11,SHOULDER,SHOULDER
7,0,7,0.052272197,16.047564,128.69595,130.0,213.0,18.928997,132.10307,0.0070198253,2.881433039794928,3.407123120117177,182625,MRI_CCS_11,SHOULDER,SHOULDER
8,0,8,0.052939665,16.252478,144.94843,1.0,214.0,18.671068,150.77414,0.0070198253,-2.4185901915283203,5.825709404296873,182625,MRI_FRR_257,SHOULDER,SHOULDER
9,0,9,0.052886087,16.236029,161.18445,10.0,224.0,18.263693,169.03783,0.0070198253,-2.0276638558349624,7.853376538085939,182625,MRI_FRR_264,SHOULDER,SHOULDER
10,0,10,0.052854635,16.226374,177.41083,2.0,226.0,15.670926,184.70876,0.0070198253,0.5554479059448241,7.297925493164058,182625,MRI_FRR_264,SHOULDER,SHOULDER
11,0,11,0.052806832,16.211697,193.62253,7.0,233.0,13.786962,198.49571,0.0070198253,2.424735444519044,4.873182280273426,182625,MRI_FRR_257,SHOULDER,SHOULDER
12,0,12,0.05285057,16.225124,209.84766,2.0,235.0,8.1365385,206.63225,0.0070198253,8.088585494445802,-3.215412075195303,182625,MRI_FRR_264,SHOULDER,SHOULDER
13,0,13,0.052934725,16.250961,226.09862,46.0,281.0,17.859804,224.49205,0.0070198253,1.6088431534423826,-1.6065698291015735,182625,MRI_FRR_3,SHOULDER,SHOULDER
14,0,14,0.05248154,16.111834,242.21045,0.0,281.0,2.3160522,226.8081,0.0070198253,13.795781801589968,-15.402344531250009,182625,MRI_MSR_34,SHOULDER,SHOULDER
15,0,15,0.052438304,16.098558,258.30902,11.0,292.0,0.0,226.8081,0.0070198253,-5.901441999999999,-31.50091453124997,182625,MRI_MPT_1005,SHOULDER,SHOULDER
16,0,16,0.05270038,16.179018,274.48804,1.0,293.0,0.0,226.8081,0.0070198253,14.179018,-47.67993453125001,182625,MRI_FRR_257,SHOULDER,SHOULDER
17,0,17,0.052798063,16.209005,290.69705,14.0,307.0,0.0,226.8081,0.0070198253,-11.790995,-63.88894453124999,182625,MRI_FRR_264,SHOULDER,SHOULDER
18,0,18,0.053104095,16.302958,307.0,-307.0,0.0,0.0,226.8081,0.0070198253,16.30295799999999,80.19189453125,182625,MRI_EXU_95,SHOULDER,SHOULDER
19,1,1,0.049735103,11.687749,23.436626,-307.0,0.0,0.0,0.0,0.003560574,11.687748999999997,23.436626,182625,MRI_MSR_100,SHOULDER,SHOULDER
20,1,2,0.049038235,11.523985,34.96061,26.0,26.0,9.383062,9.383062,0.003560574,-2.1409226373291013,-7.656327637329099,182625,MRI_MSR_104,SHOULDER,SHOULDER
