date,day_of_week,day_of_year,num_sessions,session_start_times,machine_id
2024-04-16,1,107,49,"[28757, 29324, 29757, 30204, 30807, 31427, 31922, 32429, 32934, 33534, 34527, 35165, 36187, 37185, 38148, 40543, 44823, 45253, 45976, 46371, 47301, 48233, 51810, 52669, 53478, 54634, 55853, 56808, 58387, 58802, 59260, 59798, 60278, 60785, 61234, 61619, 61998, 62738, 63209, 63863, 64433, 64968, 65689, 66306, 68105, 68912, 69373, 69833, 70292]",141049
2024-04-17,2,108,54,"[25697, 26201, 26736, 27452, 27924, 28497, 28933, 29883, 30462, 31765, 35169, 37983, 39107, 41493, 45851, 47213, 47657, 48193, 48885, 49457, 50539, 51686, 52518, 53136, 54447, 55106, 55625, 56357, 57044, 57457, 57843, 58279, 58696, 59428, 61245, 61865, 62485, 62934, 63498, 63955, 64477, 64919, 65443, 65975, 66412, 66815, 67226, 67795, 68534, 69071, 69530, 69901, 70301, 70686]",141049
2024-04-18,3,109,10,"[25334, 27069, 28299, 29059, 30208, 31646, 33143, 34190, 34733, 36791]",141049
2024-04-16,1,107,33,"[26901, 27733, 29343, 30237, 34554, 39038, 40326, 41355, 42841, 43409, 44012, 45364, 46264, 49341, 49929, 52136, 53883, 55230, 58260, 60577, 62019, 63927, 64715, 65875, 66201, 68461, 69285, 69916, 70626, 71626, 72508, 74306, 75177]",155687
2024-04-17,2,108,32,"[28272, 29373, 30007, 30990, 34441, 35199, 35843, 36281, 37455, 40270, 42330, 44440, 45761, 46303, 46818, 49053, 50452, 52066, 53507, 54538, 55803, 56436, 58150, 62750, 63704, 65164, 65670, 66145, 68072, 70398, 72783, 75035]",155687
2024-04-18,3,109,41,"[29154, 30087, 31522, 32526, 35367, 36643, 38786, 39404, 39976, 40727, 41306, 43945, 45168, 48082, 49009, 51586, 52681, 54674, 57073, 57882, 58418, 59236, 59721, 60474, 62487, 62968, 63764, 65347, 66504, 67223, 68068, 68776, 69892, 71086, 72401, 74194, 75537, 76187, 76744, 77122, 79645]",155687
2024-04-16,1,107,39,"[25515, 26253, 27465, 28906, 29725, 30671, 31958, 33002, 34507, 36438, 37477, 38811, 40494, 41180, 42160, 43104, 45185, 45902, 46708, 48344, 48956, 50223, 50722, 52448, 53934, 55481, 56316, 57517, 58883, 59830, 62175, 63699, 65309, 66171, 68212, 68996, 69763, 70845, 71943]",175832
2024-04-17,2,108,36,"[31569, 33066, 34132, 35181, 36676, 38150, 39201, 40031, 41713, 43626, 45032, 46169, 47806, 49101, 50315, 51678, 52738, 53495, 54801, 55882, 56822, 58586, 60409, 61281, 62134, 62892, 63727, 64797, 66171, 67310, 68306, 69879, 70712, 71727, 72259, 72800]",175832
2024-04-18,3,109,38,"[24879, 25924, 29156, 30284, 31608, 32172, 33302, 34347, 35619, 37693, 38357, 39058, 40734, 41832, 43514, 45229, 46502, 47881, 48814, 50249, 51556, 52644, 54104, 55967, 58063, 59623, 60407, 61545, 62237, 63427, 64641, 65836, 67505, 68089, 69329, 70366, 71338, 72213]",175832
2024-04-19,4,110,15,"[25645, 26221, 27104, 28586, 29714, 31441, 32675, 33352, 34628, 35562, 36453, 37821, 38801, 41372, 43091]",175832
2024-04-16,1,107,45,"[30287, 30731, 31626, 32182, 33797, 34475, 35006, 35465, 37164, 37598, 37986, 38393, 39550, 40441, 41023, 41708, 42254, 42935, 43896, 44582, 45445, 45741, 46643, 49596, 50226, 50952, 51590, 52483, 53371, 54553, 55073, 55727, 57058, 58057, 58746, 59129, 60261, 61263, 62010, 62618, 63530, 64107, 65250, 66056, 66605]",176802
2024-04-17,2,108,44,"[28612, 29268, 29868, 31095, 33525, 34291, 35126, 35772, 36497, 37151, 37579, 37972, 38862, 39506, 40163, 40558, 41038, 41722, 42483, 43137, 43669, 44499, 45197, 45663, 46111, 47104, 49763, 50775, 51363, 51861, 53085, 53712, 54573, 56398, 57001, 57747, 58580, 60385, 61094, 61752, 63028, 63743, 64604, 65125]",176802
2024-04-18,3,109,39,"[29884, 30437, 31976, 32613, 33668, 34252, 34696, 35560, 36318, 36874, 37622, 38214, 38869, 39310, 40938, 41734, 42514, 43381, 44201, 44889, 45905, 46474, 49623, 50685, 51635, 52264, 53973, 54734, 55418, 56474, 57555, 58296, 59177, 59865, 61123, 61853, 62656, 63331, 64185]",176802
2024-04-16,1,107,8,"[28177, 34558, 37061, 43437, 46992, 49090, 59879, 63274]",176887
2024-04-17,2,108,8,"[33051, 37988, 44877, 47024, 48951, 52609, 62139, 67822]",176887
2024-04-18,3,109,10,"[34357, 38775, 42422, 45314, 48925, 58399, 61520, 65097, 68848, 72525]",176887
2024-04-19,4,110,11,"[33573, 41520, 49352, 56177, 57921, 59478, 61290, 63296, 66327, 67851, 72130]",176887
2024-04-20,5,111,8,"[32176, 33845, 35491, 37074, 41786, 43286, 44652, 46532]",176887
2024-04-22,0,113,8,"[35412, 38131, 41935, 45150, 48901, 51342, 53347, 62546]",176887
2024-04-16,1,107,47,"[22158, 23016, 24072, 27710, 29938, 30914, 32032, 34318, 35613, 38458, 39201, 39963, 41198, 42477, 43820, 45702, 47689, 48743, 49967, 51089, 52107, 53813, 54778, 55688, 56879, 57870, 59199, 60206, 61095, 63199, 64194, 66409, 67660, 68672, 69959, 71364, 72375, 73141, 74390, 75583, 76894, 77609, 78307, 79512, 81418, 82615, 84194]",188001
2024-04-17,2,108,47,"[22143, 23073, 24252, 25089, 26322, 27055, 28842, 30470, 32020, 33121, 33884, 35024, 36918, 37778, 38812, 39943, 41366, 46277, 47262, 48350, 48914, 50126, 50875, 52232, 52817, 53342, 54493, 55287, 56330, 60881, 62403, 63520, 64414, 66340, 68433, 71236, 73465, 74427, 75398, 75931, 77010, 77977, 78849, 79753, 81052, 81829, 83658]",188001
2024-04-18,3,109,41,"[23132, 25479, 26598, 31551, 33032, 34895, 36132, 37460, 38338, 39597, 40566, 41350, 42214, 43726, 45509, 46714, 47257, 47834, 50062, 51676, 53784, 55412, 56116, 56794, 57590, 59185, 59777, 60351, 61191, 62200, 63093, 64092, 64756, 65671, 67078, 67771, 68556, 71502, 72425, 73373, 77293]",188001
2024-04-16,1,107,41,"[22539, 23174, 24745, 25669, 26832, 27842, 29146, 30797, 32113, 33519, 34875, 36418, 37720, 39922, 41030, 42615, 45119, 47575, 49708, 50810, 52058, 53177, 54589, 56241, 57630, 59317, 60734, 61509, 63753, 64926, 67390, 68973, 70645, 71730, 73006, 73753, 74373, 75025, 75586, 76111, 76558]",189541
2024-04-17,2,108,37,"[22776, 23316, 24041, 24633, 25404, 27280, 29540, 30571, 31689, 33024, 34343, 35598, 37315, 38525, 39841, 42364, 43416, 44921, 46532, 48472, 52068, 53310, 54873, 57700, 58239, 60453, 63944, 67307, 69151, 70624, 71575, 73244, 74153, 74834, 75457, 76109, 76881]",189541
2024-04-18,3,109,23,"[22571, 23393, 24154, 25445, 55315, 57819, 58979, 61428, 62041, 62959, 64726, 65653, 66839, 67907, 68970, 70617, 71935, 73191, 73898, 74573, 75163, 75658, 76313]",189541
2024-04-16,1,107,44,"[26784, 27415, 28122, 28792, 29652, 30299, 31044, 31645, 32355, 33060, 33661, 34276, 35430, 36754, 38427, 40219, 42040, 44224, 45308, 46491, 47927, 49978, 50687, 51748, 52807, 53711, 55143, 55980, 57288, 58168, 58854, 60525, 61823, 62818, 63750, 65041, 65761, 66487, 67235, 67931, 68613, 69284, 69960, 70725]",189701
